istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
024001,Agugliaro,1399,187,888,324,1400.0,210.0,909.0,281.0,-1.0,-0.07142857142857142,20.07142857142857,23.15939957112223,comparable_on_2025_geography
108002,Aicurzio,2060,230,1306,524,2088.0,256.0,1368.0,464.0,-28.0,-1.3409961685823755,22.22222222222222,25.436893203883493,comparable_on_2025_geography
095002,Aidomaggiore,379,40,212,127,430.0,38.0,252.0,140.0,-51.0,-11.86046511627907,32.55813953488372,33.50923482849604,comparable_on_2025_geography
086002,Aidone,4165,377,2646,1142,4628.0,497.0,3003.0,1128.0,-463.0,-10.004321521175454,24.373379429559204,27.418967587034814,comparable_on_2025_geography
066002,Aielli,1370,159,812,399,1459.0,176.0,899.0,384.0,-89.0,-6.100068540095957,26.319396847155584,29.124087591240876,comparable_on_2025_geography
078004,Aiello Calabro,1338,96,820,422,1604.0,134.0,1018.0,452.0,-266.0,-16.58354114713217,28.179551122194514,31.53961136023916,comparable_on_2025_geography
030001,Aiello del Friuli,2088,200,1242,646,2222.0,240.0,1301.0,681.0,-134.0,-6.0306030603060305,30.648064806480647,30.938697318007662,comparable_on_2025_geography
064001,Aiello del Sabato,4030,511,2766,753,4004.0,570.0,2769.0,665.0,26.0,0.6493506493506493,16.60839160839161,18.6848635235732,comparable_on_2025_geography
078005,Aieta,716,76,440,200,767.0,100.0,455.0,212.0,-51.0,-6.6492829204693615,27.640156453715775,27.932960893854748,comparable_on_2025_geography
061001,Ailano,1136,99,709,328,1335.0,151.0,824.0,360.0,-199.0,-14.906367041198502,26.96629213483146,28.87323943661972,comparable_on_2025_geography
096001,Ailoche,291,26,174,91,320.0,48.0,188.0,84.0,-29.0,-9.0625,26.25,31.27147766323024,comparable_on_2025_geography
001002,Airasca,3695,453,2328,914,3613.0,513.0,2318.0,782.0,82.0,2.269582064766122,21.64406310545253,24.7361299052774,comparable_on_2025_geography
062001,Airola,8118,1034,5385,1699,8341.0,1167.0,5549.0,1625.0,-223.0,-2.673540342884546,19.48207648962954,20.92880019709288,comparable_on_2025_geography
008001,Airole,369,38,198,133,363.0,38.0,189.0,136.0,6.0,1.6528925619834711,37.46556473829201,36.043360433604335,comparable_on_2025_geography
097002,Airuno,2884,354,1842,688,2829.0,386.0,1813.0,630.0,55.0,1.9441498762813716,22.26935312831389,23.855755894590846,comparable_on_2025_geography
004002,Aisone,204,14,107,83,223.0,18.0,123.0,82.0,-19.0,-8.520179372197308,36.771300448430495,40.68627450980392,comparable_on_2025_geography
