isil,previous_name_original,previous_name_normalized
IT-AP0134,Biblioteca della Fondazione Hispano Latina,Biblioteca della Fondazione Hispano Latina
IT-AQ0016,Biblioteca comunale,Biblioteca comunale
IT-AQ0016,Centro di Lettura comunale,Centro di Lettura comunale
IT-AQ0042,Biblioteca diocesana,Biblioteca diocesana
IT-AQ0044,Biblioteca del Convento di S. Giuliano,Biblioteca del Convento di S. Giuliano
IT-AQ0047,"Biblioteca ""Salvatore Tommasi""","Biblioteca ""Salvatore Tommasi"""
IT-AQ0047,Biblioteca provinciale Salvatore Tommasi,Biblioteca provinciale Salvatore Tommasi
IT-AQ0049,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per la città dell'Aquila e i comuni del cratere","Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per la città dell'Aquila e i comuni del cratere"
IT-AQ0049,Biblioteca della Soprintendenza per i beni architettonici ed il paesaggio per l'Abruzzo,Biblioteca della Soprintendenza per i beni architettonici ed il paesaggio per l'Abruzzo
IT-AQ0050,Biblioteca della Deputazione di storia patria negli Abruzzi - DASP,Biblioteca della Deputazione di storia patria negli Abruzzi - DASP
IT-AQ0072,Biblioteca comunale,Biblioteca comunale
IT-AQ0073,Biblioteca comunale,Biblioteca comunale
IT-AQ0095,Biblioteca del Centro servizi culturali ,Biblioteca del Centro servizi culturali
IT-AQ0114,Biblioteca del Seminario vescovile di Sulmona,Biblioteca del Seminario vescovile di Sulmona
IT-AQ0121,"Biblioteca Comunale ""Domenico Grande""","Biblioteca Comunale ""Domenico Grande"""
IT-AQ0130,Biblioteca del Centro servizi culturali,Biblioteca del Centro servizi culturali
IT-AQ0135,Biblioteca comunale,Biblioteca comunale
IT-AQ0146,Biblioteca del Centro servizi culturali,Biblioteca del Centro servizi culturali
IT-AQ0154,Biblioteca Carlo Urbani dell'Università degli studi dell'Aquila,Biblioteca Carlo Urbani dell'Università degli studi dell'Aquila
