isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-UD0430,,,,,,,2023-04-20,Biblioteca comunale di Villa Santina,Biblioteca comunale di Villa Santina,"Via Pal Piccolo, 18","Via Pal Piccolo, 18",,33029,Villa Santina,030133,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.4147671,12.9250848,False,Parzialmente accessibile,Comune,Pubblica,Comune di Villa Santina,,46.4147671,12.9250848,valid_world_range
IT-UD0431,,,,,,,2024-06-27,Biblioteca scolastica del Liceo scientifico “Niccolò Copernico”,Biblioteca scolastica del Liceo scientifico “Niccolò Copernico”,"Via Planis, 25    ","Via Planis, 25",,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0708954,13.2426445,False,Accessibile,Presidenza del consiglio dei ministri e ministeri,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca. Liceo scientifico “Niccolò Copernico”",,46.0708954,13.2426445,valid_world_range
IT-UD0432,FVG59,,,,,,2024-07-02,Biblioteca comunale,Biblioteca comunale,via Vedronza,via Vedronza,,33010,Lusevera,030051,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.2645591,13.2594225,False,,Comune,Pubblica,Comune di Lusevera,,46.2645591,13.2594225,valid_world_range
IT-UD0433,FVG60,,,,,,2024-07-02,"Centro documentazione Casa delle donne ""Paola Trombetti""","Centro documentazione Casa delle donne ""Paola Trombetti""",Via Pradamano 21,Via Pradamano 21,,33040,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0544972,13.2494935,False,,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,"Casa delle donne ""Paola Trombetti""",,46.0544972,13.2494935,valid_world_range
IT-UD0434,,,,,,,2024-07-12,Biblioteca Sociale Società Friulana di Archeologia,Biblioteca Sociale Società Friulana di Archeologia,"Via Micesio, 2","Via Micesio, 2",,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0671005,13.2263799,False,,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,Società Friulana di Archeologia – Odv,,46.0671005,13.2263799,valid_world_range
IT-UD0435,,,,,,,2024-09-30,Biblioteca del DDSM,Biblioteca del DDSM,"Via Pozzuolo, 330","Via Pozzuolo, 330",,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0340838,13.2221119,False,Accessibile,Aziende ed enti del servizio sanitario nazionale,Specializzata,ASUFC - Azienda Sanitaria Universitaria Friuli Centrale,,46.0340838,13.2221119,valid_world_range
IT-UD0436,FVG61,,,,,,2025-11-11,Centro di documentazione sulla letteratura per l’infanzia e l’adolescenza,Centro di documentazione sulla letteratura per l’infanzia e l’adolescenza,"Via Selvuzzis, 1 ","Via Selvuzzis, 1",Villalta,,Fagagna,030037,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.1017495,13.1139115,False,,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,Cooperativa Damatrà onlus,,46.1017495,13.1139115,valid_world_range
IT-VA0004,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,Piazza IV Novembre,Piazza IV Novembre,,21041,Albizzate,012002,Varese,012,VA,LOMBARDIA,45.72319599999999,8.8035169,False,Accessibile,Comune,Pubblica,Comune di Albizzate,,45.72319599999999,8.8035169,valid_world_range
IT-VA0005,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"via Dei Mille, 5","via Dei Mille, 5",,21021,Angera,012003,Varese,012,VA,LOMBARDIA,45.7742122,8.5764955,False,Parzialmente accessibile,Comune,Pubblica,Comune di Angera,,45.7742122,8.5764955,valid_world_range
IT-VA0006,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"piazza De Gasperi, 6","piazza De Gasperi, 6",,21051,Arcisate,012004,Varese,012,VA,LOMBARDIA,45.860249,8.8594086,False,Accessibile,Comune,Pubblica,Comune di Arcisate,,45.860249,8.8594086,valid_world_range
