library,isil,libraryName,municipality,municipalityName,region,statusCode,population2019,population2025,changePercent
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SV0116,IT-SV0116,Biblioteca del Liceo Calasanzio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/009018,Carcare,LIGURIA,TEMPORANEAMENTE_CHIUSA,5496,5232,-4.8034934497816595
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TO0023,IT-TO0023,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/001030,Borgofranco d'Ivrea,PIEMONTE,TEMPORANEAMENTE_CHIUSA,3631,3457,-4.792068300743597
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PG0071,IT-PG0071,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/054036,Paciano,UMBRIA,TEMPORANEAMENTE_CHIUSA,984,937,-4.776422764227642
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RC0085,IT-RC0085,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/080096,Villa San Giovanni,CALABRIA,TEMPORANEAMENTE_CHIUSA,13336,12700,-4.7690461907618475
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0033,IT-NA0033,Biblioteca pubblica comunale Benedetto Croce,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0036,IT-NA0036,Biblioteca del Dipartimento di Ingegneria Industriale Sezione di Ingegneria aerospaziale (Spazio),https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0073,IT-NA0073,Biblioteca comunale Renato Caccioppoli,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0281,IT-NA0281,Biblioteca del Dipartimento di ingegneria dei trasporti Luigi Tocchetti dell'Università degli studi di Napoli Federico II,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0287,IT-NA0287,"Biblioteca del Dipartimento di Ingegneria Industriale dell'Università degli studi di Napoli Federico II. Sezione di Energetica, Termofluidodinamica Applicata e Condizionamenti Ambientali",https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0337,IT-NA0337,Biblioteca del Dipartimento di biologia evolutiva e comparata dell'Università degli studi di Napoli Federico II,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0351,IT-NA0351,Dipartimento di Biologia dell'Università degli studi di Napoli Federico II. Biblioteca dell'ex Dipartimento delle Scienze biologiche. Sezione di Genetica e biologia molecolare,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0359,IT-NA0359,Biblioteca del Dipartimento di Ingegneria Industriale Sezione di Ingegneria aerospaziale dell'Università degli studi di Napoli Federico II,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0360,IT-NA0360,Biblioteca del Dipartimento di Ingegneria Industriale  dell'Università degli studi di Napoli Federico II - Sezione di Ingegneria aerospaziale (Spazio),https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0414,IT-NA0414,Biblioteca del Dipartimento di configurazione e attuazione dell'architettura dell'Università degli studi di Napoli Federico II,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0420,IT-NA0420,Nucleo bibliotecario di geografia dell'Università degli studi di Napoli Federico II,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0431,IT-NA0431,Biblioteca Rafael Alberti del Instituto Cervantes,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0531,IT-NA0531,Biblioteca comunale di Pianura,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0590,IT-NA0590,Biblioteca comunale Pasquale Cozzolino,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0767,IT-NA0767,Biblioteca Giovanni Bovio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0789,IT-NA0789,Biblioteca della Fondazione Ezio De Felice. Sezione distaccata,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0847,IT-NA0847,Biblioteca Gallerie d'Italia,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063049,Napoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,954318,909013,-4.747369325528807
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NU0114,IT-NU0114,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/095083,Magomadas,SARDEGNA,TEMPORANEAMENTE_CHIUSA,633,603,-4.739336492890995
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0241,IT-NA0241,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063059,Portici,CAMPANIA,TEMPORANEAMENTE_CHIUSA,53979,51429,-4.724059356416384
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AP0020,IT-AP0020,Biblioteca tomistica S. Alessio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/044031,Monsampolo del Tronto,MARCHE,TEMPORANEAMENTE_CHIUSA,4605,4388,-4.712269272529858
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RC0003,IT-RC0003,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/080006,Bagaladi,CALABRIA,TEMPORANEAMENTE_CHIUSA,977,931,-4.7082906857727735
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SP0056,IT-SP0056,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/011025,Rocchetta di Vara,LIGURIA,TEMPORANEAMENTE_CHIUSA,681,649,-4.698972099853157
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CE0037,IT-CE0037,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/061068,Riardo,CAMPANIA,TEMPORANEAMENTE_CHIUSA,2300,2192,-4.695652173913043
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CH0254,IT-CH0254,Biblioteca Sancti Martini,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/069082,San Martino sulla Marrucina,ABRUZZO,TEMPORANEAMENTE_CHIUSA,899,857,-4.671857619577309
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BL0034,IT-BL0034,BIBLIOTECA CIVICA E LADINA DI LIVINALLONGO DEL COL DI LANA,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/025030,Livinallongo del Col di Lana,VENETO,TEMPORANEAMENTE_CHIUSA,1308,1247,-4.663608562691132
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PG0406,IT-PG0406,Biblioteca comunale di Montone,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/054033,Montone,UMBRIA,TEMPORANEAMENTE_CHIUSA,1612,1537,-4.652605459057072
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FR0130,IT-FR0130,"BIBLIOTECA ANTONIO VALENTE DELL'ORDINE DEGLI ARCHITETTI, PIANIFICATORI, PAESAGGISTI E CONSERVATORI D",https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/060038,Frosinone,LAZIO,TEMPORANEAMENTE_CHIUSA,45073,43015,-4.565926386084796
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BI0004,IT-BI0004,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/096018,Cerrione,PIEMONTE,INAGIBILE,2875,2744,-4.556521739130435
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PG0206,IT-PG0206,Biblioteca del Centro della gioventù,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/054024,Gubbio,UMBRIA,TEMPORANEAMENTE_CHIUSA,31747,30308,-4.532711752291555
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0006,IT-AQ0006,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/066008,Barete,ABRUZZO,TEMPORANEAMENTE_CHIUSA,668,638,-4.491017964071856
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MS0048,IT-MS0048,Biblioteca del Centro Studi Giuridici e Sociali,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/045014,Pontremoli,TOSCANA,TEMPORANEAMENTE_CHIUSA,7184,6865,-4.440423162583519
