library,isil,libraryName,materialLabel,quantity
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VT0093,IT-VT0093,Biblioteca 'Bruno Blasi' della Società Tarquiniense d'Arte e Storia,manoscritti,300
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0276,IT-RM0276,Biblioteca 'Romana Sarti',manoscritti,200
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0119,IT-VI0119,Biblioteca - Archivio del Duomo di Schio,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM1476,IT-RM1476,Biblioteca - Archivio della Fondazione Adkins Chiti: Donne in musica,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AL0104,IT-AL0104,Biblioteca - Centro comunale di Cultura,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-KR0128,IT-KR0128,"Biblioteca - Centro di Documentazione di Educazione Motoria, Fisica, Sportiva e Olimpismo Antico 'Romeo Fauci'",manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0128,IT-CS0128,Biblioteca -Mediateca civica - Archivio Etno-Storico delle Genti di Calabria,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0440,IT-NA0440,Biblioteca 1799 e Archivio storico del Centro di ricerche storiche D'Ambra,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM2042,IT-RM2042,Biblioteca AIMART,manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LO0109,IT-LO0109,Biblioteca Abbaziale di Villanova del Sillaro,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-UD0148,IT-UD0148,Biblioteca Abbaziale don Domenico Tessitori,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PV0485,IT-PV0485,Biblioteca Accademia San Pietro,manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VR0072,IT-VR0072,Biblioteca Accademia di Agricoltura di Scienze e Lettere,manoscritti,3000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BI0138,IT-BI0138,Biblioteca Adolfo Marconetto UPBeduca,manoscritti,200
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BA0233,IT-BA0233,"Biblioteca Agostiniana del Convento Santa Maria della Lama ""Padre Tommaso Autiero""",manoscritti,7
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PG0440,IT-PG0440,Biblioteca Agostino Steuco,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM1489,IT-RM1489,Biblioteca Alberto Vianello del Club Alpino Italiano Sezione di Roma,manoscritti,1810
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FR0077,IT-FR0077,Biblioteca Alfonso Giorgi,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0865,IT-CS0865,Biblioteca Alimena,manoscritti,300
